"Positions for account Individual ...626 as of 08:34 AM ET, 2026/09/11"

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Asset Type",
"AAAU","GOLDMAN SACHS PHYSICAL GOLD ETF","215","42.74","0.12","0.28%","$9,189.10","$25.80","0.28%","$4,072.10","$5,117.00","125.66%","No","N/A","ETFs & Closed End Funds",
"EFV","ISHARES MSCI EAFE VALUE ETF","80","81.42","0.00","0%","$6,513.60","$0.00","0%","$4,224.40","$2,289.20","54.19%","No","N/A","ETFs & Closed End Funds",
"MLPX","GLOBAL X MLP & ENERGY INFRASTRUCTURE ETF","53","73.60","-1.66","-2.21%","$3,900.80","-$87.98","-2.21%","$2,389.70","$1,511.10","63.23%","No","N/A","ETFs & Closed End Funds",
"URA","GLOBAL X URANIUM ETF","35","44.94","-0.06","-0.13%","$1,572.90","-$2.10","-0.13%","$686.66","$886.24","129.07%","No","N/A","ETFs & Closed End Funds",
"VEA","VANGUARD FTSE DEVELOPED MARKETS INDEX FUND ETF SHARES","40","72.23","0.31","0.43%","$2,889.20","$12.40","0.43%","$1,943.40","$945.80","48.67%","No","N/A","ETFs & Closed End Funds",
"VNQ","VANGUARD REAL ESTATE INDEX FUND ETF SHARES","74","94.65","0.53","0.56%","$7,004.10","$39.22","0.56%","$6,342.35","$661.75","10.43%","No","N/A","ETFs & Closed End Funds",
"VOO","VANGUARD S&P 500 ETF","21","701.05","4.40","0.63%","$14,722.05","$92.40","0.63%","$7,919.23","$6,802.82","85.9%","No","N/A","ETFs & Closed End Funds",
"XLC","STATE STREET COMMUNICATION SERVICES SELECT SECTOR SPDR ETF","17","112.33","0.83","0.74%","$1,909.61","$14.11","0.74%","$1,436.50","$473.11","32.93%","No","N/A","ETFs & Closed End Funds",
"XLI","STATE STREET INDUSTRIAL SELECT SECTOR SPDR ETF","10","172.29","1.74","1.02%","$1,722.90","$17.40","1.02%","$1,236.50","$486.40","39.34%","No","N/A","ETFs & Closed End Funds",
"XOP","STATE STREET SPDR S&P OIL & GAS EXPLORATION & PRODUCTION ETF","9","193.73","-1.74","-0.89%","$1,743.57","-$15.66","-0.89%","$1,100.93","$642.64","58.37%","No","N/A","ETFs & Closed End Funds",
"Cash & Cash Investments","--","--","--","--","--","$1,197.90","$0.00","0%","--","--","--","--","--","Cash and Money Market",
"Positions Total","","--","--","--","--","$52,365.73","$95.59","0.18%","$31,351.77","$19,816.06","63.21%","--","--","--",
